Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,2020-04-08 13:00,111,53,555,0
Baja California,2020-04-08 13:00,422,225,713,15
Baja California Sur,2020-04-08 13:00,270,68,269,2
Campeche,2020-04-08 13:00,17,14,53,1
Chiapas,2020-04-08 13:00,77,32,169,0
Chihuahua,2020-04-08 13:00,76,29,164,0
Ciudad de México,2020-04-08 13:00,1782,855,2814,39
Coahuila,2020-04-08 13:00,753,122,620,7
Colima,2020-04-08 13:00,30,7,73,0
Durango,2020-04-08 13:00,113,15,218,4
Guanajuato,2020-04-08 13:00,286,67,1136,1
Guerrero,2020-04-08 13:00,149,47,234,4
Hidalgo,2020-04-08 13:00,91,46,322,7
Jalisco,2020-04-08 13:00,862,139,1856,8
Michoacán,2020-04-08 13:00,181,36,285,5
Morelos,2020-04-08 13:00,62,26,195,5
México,2020-04-08 13:00,793,354,1395,11
Nayarit,2020-04-08 13:00,40,12,105,1
Nuevo León,2020-04-08 13:00,551,98,1343,4
Oaxaca,2020-04-08 13:00,76,37,272,1
Puebla,2020-04-08 13:00,340,183,501,9
Queretaro,2020-04-08 13:00,68,47,335,2
Quintana Roo,2020-04-08 13:00,200,143,317,10
San Luis Potosí,2020-04-08 13:00,156,43,562,4
Sinaloa,2020-04-08 13:00,365,125,359,13
Sonora,2020-04-08 13:00,173,46,294,2
Tabasco,2020-04-08 13:00,362,112,424,8
Tamaulipas,2020-04-08 13:00,102,43,267,3
Tlaxcala,2020-04-08 13:00,92,23,180,0
Veracruz,2020-04-08 13:00,395,49,645,3
Yucatán,2020-04-08 13:00,148,74,343,3
Zacatecas,2020-04-08 13:00,45,11,191,2
