Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,"Cierre con corte a las 14:00 hrs, 14 de Abril de 2020",66,65,705,1
Baja California,,590,412,766,28
Baja California Sur,,198,164,484,5
Campeche,,41,33,95,2
Chiapas,,67,45,234,3
Chihuahua,,186,69,211,16
Ciudad de México,,2049,1556,4628,92
Coahuila,,911,194,920,12
Colima,,26,7,92,0
Durango,,89,15,248,3
Guanajuato,,172,90,1496,5
Guerrero,,142,88,279,6
Hidalgo,,33,64,377,10
Jalisco,,620,165,2350,11
Michoacán,,163,67,469,11
Morelos,,79,53,266,9
México,,904,602,1800,35
Nayarit,,36,25,158,4
Nuevo León,,1919,136,1634,5
Oaxaca,,60,46,330,5
Puebla,,312,276,762,27
Queretaro,,68,65,419,4
Quintana Roo,,201,245,403,25
San Luis Potosí,,115,55,800,4
Sinaloa,,293,261,680,34
Sonora,,158,73,465,9
Tabasco,,343,195,502,19
Tamaulipas,,178,55,438,3
Tlaxcala,,149,51,296,4
Veracruz,,418,94,838,5
Yucatán,,147,116,511,7
Zacatecas,,59,17,244,2
