Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,2020-04-07 13:00,183,53,425,0
Baja California,2020-04-07 13:00,345,136,590,7
Baja California Sur,2020-04-07 13:00,149,56,236,2
Campeche,2020-04-07 13:00,12,14,43,1
Chiapas,2020-04-07 13:00,80,28,146,0
Chihuahua,2020-04-07 13:00,68,22,120,0
Ciudad de México,2020-04-07 13:00,1350,723,2430,32
Coahuila,2020-04-07 13:00,550,109,502,5
Colima,2020-04-07 13:00,19,5,70,0
Durango,2020-04-07 13:00,84,15,156,4
Guanajuato,2020-04-07 13:00,242,61,1051,1
Guerrero,2020-04-07 13:00,145,37,199,3
Hidalgo,2020-04-07 13:00,87,41,283,6
Jalisco,2020-04-07 13:00,752,135,1654,7
Michoacán,2020-04-07 13:00,134,34,264,4
Morelos,2020-04-07 13:00,51,24,170,4
México,2020-04-07 13:00,609,320,1136,9
Nayarit,2020-04-07 13:00,37,10,94,1
Nuevo León,2020-04-07 13:00,333,93,1186,4
Oaxaca,2020-04-07 13:00,61,35,237,1
Puebla,2020-04-07 13:00,262,179,485,4
Queretaro,2020-04-07 13:00,58,45,307,2
Quintana Roo,2020-04-07 13:00,171,135,294,9
San Luis Potosí,2020-04-07 13:00,187,41,464,3
Sinaloa,2020-04-07 13:00,329,111,314,13
Sonora,2020-04-07 13:00,176,35,272,1
Tabasco,2020-04-07 13:00,293,108,390,8
Tamaulipas,2020-04-07 13:00,111,32,243,3
Tlaxcala,2020-04-07 13:00,83,18,189,0
Veracruz,2020-04-07 13:00,429,46,596,3
Yucatán,2020-04-07 13:00,88,74,340,2
Zacatecas,2020-04-07 13:00,48,10,213,2
