Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,"Cierre con corte a las 14:00 hrs, 16 de Abril de 2020",77,71,769,2
Baja California,,780,505,823,31
Baja California Sur,,276,166,514,6
Campeche,,49,45,110,3
Chiapas,,56,54,265,3
Chihuahua,,205,108,266,23
Ciudad de México,,2546,1828,5249,110
Coahuila,,918,214,1108,15
Colima,,30,7,92,0
Durango,,89,17,274,4
Guanajuato,,277,96,1587,6
Guerrero,,149,100,306,9
Hidalgo,,43,67,392,12
Jalisco,,623,178,2477,11
Michoacán,,229,84,490,13
Morelos,,95,58,296,10
México,,1107,695,1920,46
Nayarit,,40,29,170,5
Nuevo León,,2104,159,2045,5
Oaxaca,,65,53,348,5
Puebla,,339,305,834,32
Queretaro,,78,76,442,5
Quintana Roo,,190,276,421,28
San Luis Potosí,,106,56,879,4
Sinaloa,,324,327,744,40
Sonora,,165,89,502,10
Tabasco,,357,233,518,25
Tamaulipas,,227,78,577,4
Tlaxcala,,94,62,381,4
Veracruz,,466,112,897,6
Yucatán,,181,131,539,7
Zacatecas,,55,18,276,2
