Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,2020-04-06 13:00,164,49,389,0
Baja California,2020-04-06 13:00,245,111,395,7
Baja California Sur,2020-04-06 13:00,141,54,202,2
Campeche,2020-04-06 13:00,15,9,40,0
Chiapas,2020-04-06 13:00,65,26,133,0
Chihuahua,2020-04-06 13:00,52,22,101,0
Ciudad de México,2020-04-06 13:00,1100,609,1598,29
Coahuila,2020-04-06 13:00,391,102,424,5
Colima,2020-04-06 13:00,22,4,38,0
Durango,2020-04-06 13:00,78,12,141,4
Guanajuato,2020-04-06 13:00,164,58,1025,0
Guerrero,2020-04-06 13:00,128,32,167,3
Hidalgo,2020-04-06 13:00,79,35,232,5
Jalisco,2020-04-06 13:00,703,126,1184,7
Michoacán,2020-04-06 13:00,82,33,232,3
Morelos,2020-04-06 13:00,57,17,138,3
México,2020-04-06 13:00,572,261,789,8
Nayarit,2020-04-06 13:00,27,10,93,1
Nuevo León,2020-04-06 13:00,142,93,970,3
Oaxaca,2020-04-06 13:00,81,27,192,1
Puebla,2020-04-06 13:00,222,156,370,2
Queretaro,2020-04-06 13:00,48,40,281,2
Quintana Roo,2020-04-06 13:00,148,115,228,8
San Luis Potosí,2020-04-06 13:00,154,37,445,3
Sinaloa,2020-04-06 13:00,271,97,254,12
Sonora,2020-04-06 13:00,141,30,232,1
Tabasco,2020-04-06 13:00,331,107,328,8
Tamaulipas,2020-04-06 13:00,82,31,169,1
Tlaxcala,2020-04-06 13:00,75,14,152,0
Veracruz,2020-04-06 13:00,412,41,345,3
Yucatán,2020-04-06 13:00,64,72,281,2
Zacatecas,2020-04-06 13:00,39,9,173,2
