Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,"Cierre con corte a las 13:00 hrs, 21 de Abril de 2020",0,13,0,0
Baja California,,0,297,0,0
Baja California Sur,,0,43,0,0
Campeche,,0,18,0,0
Chiapas,,0,28,0,0
Chihuahua,,0,51,0,0
Ciudad de México,,0,883,0,0
Coahuila,,0,45,0,0
Colima,,0,6,0,0
Durango,,0,14,0,0
Guanajuato,,0,68,0,0
Guerrero,,0,46,0,0
Hidalgo,,0,46,0,0
Jalisco,,0,47,0,0
Michoacán,,0,56,0,0
Morelos,,0,36,0,0
México,,0,491,0,0
Nayarit,,0,17,0,0
Nuevo León,,0,40,0,0
Oaxaca,,0,24,0,0
Puebla,,0,87,0,0
Queretaro,,0,25,0,0
Quintana Roo,,0,102,0,0
San Luis Potosí,,0,10,0,0
Sinaloa,,0,185,0,0
Sonora,,0,28,0,0
Tabasco,,0,218,0,0
Tamaulipas,,0,80,0,0
Tlaxcala,,0,23,0,0
Veracruz,,0,69,0,0
Yucatán,,0,72,0,0
Zacatecas,,0,17,0,0
