Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,"Cierre con corte a las 14:30 hrs, 18 de Abril de 2020",82,77,842,2
Baja California,,841,610,869,68
Baja California Sur,,313,173,523,6
Campeche,,28,56,134,3
Chiapas,,50,62,292,3
Chihuahua,,220,131,315,31
Ciudad de México,,2369,2299,6127,178
Coahuila,,970,232,1245,18
Colima,,21,10,106,2
Durango,,98,19,291,4
Guanajuato,,343,116,1753,9
Guerrero,,123,110,343,11
Hidalgo,,45,75,401,13
Jalisco,,547,196,2666,13
Michoacán,,249,107,645,16
Morelos,,60,77,333,11
México,,1289,786,2020,52
Nayarit,,35,33,186,5
Nuevo León,,2184,172,2200,6
Oaxaca,,61,62,367,6
Puebla,,344,330,885,40
Queretaro,,81,79,462,6
Quintana Roo,,188,315,450,31
San Luis Potosí,,102,59,949,4
Sinaloa,,285,413,818,45
Sonora,,141,108,540,10
Tabasco,,361,278,533,28
Tamaulipas,,225,117,711,5
Tlaxcala,,86,72,429,4
Veracruz,,476,124,920,8
Yucatán,,105,172,641,10
Zacatecas,,47,27,305,2
