Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,2020-04-05 13:00,122,49,378,0
Baja California,2020-04-05 13:00,201,69,360,6
Baja California Sur,2020-04-05 13:00,92,28,180,2
Campeche,2020-04-05 13:00,10,8,39,0
Chiapas,2020-04-05 13:00,52,25,128,0
Chihuahua,2020-04-05 13:00,29,15,85,0
Ciudad de México,2020-04-05 13:00,697,560,1382,19
Coahuila,2020-04-05 13:00,222,82,439,4
Colima,2020-04-05 13:00,19,4,40,0
Durango,2020-04-05 13:00,48,12,99,3
Guanajuato,2020-04-05 13:00,162,53,924,0
Guerrero,2020-04-05 13:00,112,30,160,2
Hidalgo,2020-04-05 13:00,73,34,227,5
Jalisco,2020-04-05 13:00,774,123,1036,6
Michoacán,2020-04-05 13:00,49,30,222,3
Morelos,2020-04-05 13:00,45,15,126,3
México,2020-04-05 13:00,434,204,745,3
Nayarit,2020-04-05 13:00,18,9,84,1
Nuevo León,2020-04-05 13:00,203,91,819,2
Oaxaca,2020-04-05 13:00,30,25,198,1
Puebla,2020-04-05 13:00,199,147,346,1
Queretaro,2020-04-05 13:00,37,38,247,2
Quintana Roo,2020-04-05 13:00,110,86,214,4
San Luis Potosí,2020-04-05 13:00,111,37,407,2
Sinaloa,2020-04-05 13:00,248,90,242,12
Sonora,2020-04-05 13:00,114,28,227,1
Tabasco,2020-04-05 13:00,342,97,313,4
Tamaulipas,2020-04-05 13:00,67,26,156,1
Tlaxcala,2020-04-05 13:00,72,11,153,0
Veracruz,2020-04-05 13:00,404,40,280,3
Yucatán,2020-04-05 13:00,68,67,262,2
Zacatecas,2020-04-05 13:00,45,10,164,2
