Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,"Cierre con corte a las 13:00 hrs, 20 de Abril de 2020",58,80,863,2
Baja California,,745,680,912,75
Baja California Sur,,235,193,581,7
Campeche,,24,57,141,4
Chiapas,,38,67,306,3
Chihuahua,,199,148,326,32
Ciudad de México,,1576,2591,6681,183
Coahuila,,849,237,1353,18
Colima,,20,11,108,2
Durango,,93,21,298,4
Guanajuato,,190,133,1922,9
Guerrero,,94,121,363,12
Hidalgo,,46,87,408,14
Jalisco,,372,198,2805,13
Michoacán,,195,115,700,17
Morelos,,49,82,338,12
México,,1145,877,2155,55
Nayarit,,29,35,192,5
Nuevo León,,2184,184,2204,6
Oaxaca,,37,63,394,6
Puebla,,259,352,967,41
Queretaro,,70,81,478,6
Quintana Roo,,183,322,457,31
San Luis Potosí,,78,63,985,4
Sinaloa,,210,459,865,45
Sonora,,113,117,569,12
Tabasco,,301,335,571,38
Tamaulipas,,140,127,815,5
Tlaxcala,,66,76,451,4
Veracruz,,385,146,1004,9
Yucatán,,108,176,652,10
Zacatecas,,48,27,306,2
