Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,2020-04-04 13:00,75,49,368,0
Baja California,2020-04-04 13:00,242,54,333,5
Baja California Sur,2020-04-04 13:00,81,27,169,2
Campeche,2020-04-04 13:00,9,8,37,0
Chiapas,2020-04-04 13:00,67,19,104,0
Chihuahua,2020-04-04 13:00,42,13,66,0
Ciudad de México,2020-04-04 13:00,938,469,1123,17
Coahuila,2020-04-04 13:00,303,72,330,4
Colima,2020-04-04 13:00,20,4,38,0
Durango,2020-04-04 13:00,51,10,90,2
Guanajuato,2020-04-04 13:00,214,53,852,0
Guerrero,2020-04-04 13:00,118,25,131,1
Hidalgo,2020-04-04 13:00,82,32,208,5
Jalisco,2020-04-04 13:00,769,120,920,6
Michoacán,2020-04-04 13:00,67,29,192,1
Morelos,2020-04-04 13:00,62,14,106,3
México,2020-04-04 13:00,488,180,642,3
Nayarit,2020-04-04 13:00,33,9,66,1
Nuevo León,2020-04-04 13:00,165,88,801,1
Oaxaca,2020-04-04 13:00,56,22,166,1
Puebla,2020-04-04 13:00,220,125,329,1
Queretaro,2020-04-04 13:00,59,36,226,2
Quintana Roo,2020-04-04 13:00,115,75,198,2
San Luis Potosí,2020-04-04 13:00,125,35,364,2
Sinaloa,2020-04-04 13:00,253,74,223,10
Sonora,2020-04-04 13:00,131,27,196,1
Tabasco,2020-04-04 13:00,352,83,273,3
Tamaulipas,2020-04-04 13:00,83,20,125,1
Tlaxcala,2020-04-04 13:00,71,9,151,0
Veracruz,2020-04-04 13:00,430,37,249,3
Yucatán,2020-04-04 13:00,61,62,242,0
Zacatecas,2020-04-04 13:00,45,10,149,2
