Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,"Cierre con corte a las 14:00 hrs, 15 de Abril de 2020",83,65,737,1
Baja California,,690,464,785,28
Baja California Sur,,259,165,488,6
Campeche,,36,43,103,2
Chiapas,,71,48,245,3
Chihuahua,,207,83,224,20
Ciudad de México,,2364,1686,4921,99
Coahuila,,946,195,984,12
Colima,,32,7,92,0
Durango,,97,16,250,4
Guanajuato,,186,91,1565,5
Guerrero,,125,97,306,8
Hidalgo,,42,64,386,12
Jalisco,,565,176,2438,11
Michoacán,,189,70,484,12
Morelos,,85,56,281,10
México,,1044,659,1860,43
Nayarit,,43,27,161,5
Nuevo León,,2015,150,1806,5
Oaxaca,,62,50,342,5
Puebla,,347,291,788,31
Queretaro,,82,69,428,5
Quintana Roo,,182,269,417,27
San Luis Potosí,,129,56,832,4
Sinaloa,,325,292,716,38
Sonora,,158,78,490,9
Tabasco,,365,210,511,21
Tamaulipas,,216,60,484,4
Tlaxcala,,95,58,365,4
Veracruz,,437,106,879,6
Yucatán,,163,128,522,7
Zacatecas,,77,18,248,2
