Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,2020-04-03 13:00,43,48,346,0
Baja California,2020-04-03 13:00,231,52,302,5
Baja California Sur,2020-04-03 13:00,78,21,153,2
Campeche,2020-04-03 13:00,21,6,22,0
Chiapas,2020-04-03 13:00,46,18,103,0
Chihuahua,2020-04-03 13:00,39,12,58,0
Ciudad de México,2020-04-03 13:00,862,384,972,15
Coahuila,2020-04-03 13:00,226,70,316,3
Colima,2020-04-03 13:00,16,4,38,0
Durango,2020-04-03 13:00,26,8,86,1
Guanajuato,2020-04-03 13:00,237,52,764,0
Guerrero,2020-04-03 13:00,108,24,117,1
Hidalgo,2020-04-03 13:00,71,30,198,3
Jalisco,2020-04-03 13:00,686,116,840,6
Michoacán,2020-04-03 13:00,78,24,168,1
Morelos,2020-04-03 13:00,45,12,105,3
México,2020-04-03 13:00,430,177,617,1
Nayarit,2020-04-03 13:00,46,8,49,1
Nuevo León,2020-04-03 13:00,145,85,755,0
Oaxaca,2020-04-03 13:00,73,22,136,1
Puebla,2020-04-03 13:00,178,109,327,1
Queretaro,2020-04-03 13:00,52,35,220,2
Quintana Roo,2020-04-03 13:00,119,65,185,1
San Luis Potosí,2020-04-03 13:00,152,35,313,2
Sinaloa,2020-04-03 13:00,234,51,190,5
Sonora,2020-04-03 13:00,152,22,158,0
Tabasco,2020-04-03 13:00,326,73,243,3
Tamaulipas,2020-04-03 13:00,80,16,106,0
Tlaxcala,2020-04-03 13:00,78,8,135,0
Veracruz,2020-04-03 13:00,403,35,237,2
Yucatán,2020-04-03 13:00,69,59,202,0
Zacatecas,2020-04-03 13:00,46,7,141,1
