Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,"Cierre con corte a las 14:00 hrs, 17 de Abril de 2020",76,77,830,2
Baja California,,918,536,846,33
Baja California Sur,,318,169,519,6
Campeche,,41,47,125,3
Chiapas,,60,58,277,3
Chihuahua,,258,115,277,26
Ciudad de México,,2832,2080,5768,136
Coahuila,,994,217,1212,15
Colima,,27,9,103,2
Durango,,99,19,285,4
Guanajuato,,224,113,1725,7
Guerrero,,128,110,338,11
Hidalgo,,48,70,395,13
Jalisco,,573,190,2601,13
Michoacán,,254,99,588,14
Morelos,,67,73,322,10
México,,1318,754,1974,49
Nayarit,,41,31,181,5
Nuevo León,,2245,159,2103,5
Oaxaca,,68,56,359,5
Puebla,,357,314,867,37
Queretaro,,89,78,450,6
Quintana Roo,,232,280,430,31
San Luis Potosí,,108,58,925,4
Sinaloa,,347,374,787,43
Sonora,,176,97,525,10
Tabasco,,372,250,522,27
Tamaulipas,,243,91,628,5
Tlaxcala,,94,67,410,4
Veracruz,,485,121,914,7
Yucatán,,215,140,553,8
Zacatecas,,57,23,287,2
