Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,2020-04-02 13:00,53,47,323,0
Baja California,2020-04-02 13:00,213,40,284,3
Baja California Sur,2020-04-02 13:00,62,19,137,2
Campeche,2020-04-02 13:00,13,5,21,0
Chiapas,2020-04-02 13:00,45,15,92,0
Chihuahua,2020-04-02 13:00,24,11,56,0
Ciudad de México,2020-04-02 13:00,757,327,863,13
Coahuila,2020-04-02 13:00,179,62,281,2
Colima,2020-04-02 13:00,12,3,32,0
Durango,2020-04-02 13:00,28,8,72,1
Guanajuato,2020-04-02 13:00,200,50,676,0
Guerrero,2020-04-02 13:00,102,22,91,1
Hidalgo,2020-04-02 13:00,65,26,183,3
Jalisco,2020-04-02 13:00,638,104,725,4
Michoacán,2020-04-02 13:00,71,24,155,1
Morelos,2020-04-02 13:00,31,9,100,3
México,2020-04-02 13:00,406,171,554,1
Nayarit,2020-04-02 13:00,27,8,44,1
Nuevo León,2020-04-02 13:00,80,84,747,0
Oaxaca,2020-04-02 13:00,46,22,128,1
Puebla,2020-04-02 13:00,122,100,319,1
Queretaro,2020-04-02 13:00,67,32,199,1
Quintana Roo,2020-04-02 13:00,97,56,172,1
San Luis Potosí,2020-04-02 13:00,104,33,305,2
Sinaloa,2020-04-02 13:00,181,42,187,4
Sonora,2020-04-02 13:00,148,21,145,0
Tabasco,2020-04-02 13:00,277,62,212,3
Tamaulipas,2020-04-02 13:00,70,13,87,0
Tlaxcala,2020-04-02 13:00,76,5,119,0
Veracruz,2020-04-02 13:00,353,29,207,1
Yucatán,2020-04-02 13:00,72,53,178,0
Zacatecas,2020-04-02 13:00,34,7,128,1
