Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,2020-04-12 14:30,77,55,622,1
Baja California,2020-04-12 14:30,511,335,690,22
Baja California Sur,2020-04-12 14:30,266,120,370,2
Campeche,2020-04-12 14:30,31,19,70,1
Chiapas,2020-04-12 14:30,50,43,226,3
Chihuahua,2020-04-12 14:30,136,61,185,12
Ciudad de México,2020-04-12 14:30,1323,1328,4160,56
Coahuila,2020-04-12 14:30,800,157,829,11
Colima,2020-04-12 14:30,25,7,84,0
Durango,2020-04-12 14:30,61,16,253,4
Guanajuato,2020-04-12 14:30,174,82,1392,5
Guerrero,2020-04-12 14:30,114,70,259,6
Hidalgo,2020-04-12 14:30,21,58,367,9
Jalisco,2020-04-12 14:30,603,156,2204,11
Michoacán,2020-04-12 14:30,117,61,430,9
Morelos,2020-04-12 14:30,70,44,226,7
México,2020-04-12 14:30,693,523,1671,22
Nayarit,2020-04-12 14:30,31,22,146,4
Nuevo León,2020-04-12 14:30,1552,124,1554,5
Oaxaca,2020-04-12 14:30,47,43,316,3
Puebla,2020-04-12 14:30,253,256,678,20
Queretaro,2020-04-12 14:30,51,61,389,3
Quintana Roo,2020-04-12 14:30,201,223,388,19
San Luis Potosí,2020-04-12 14:30,145,53,715,4
Sinaloa,2020-04-12 14:30,215,229,628,24
Sonora,2020-04-12 14:30,117,69,439,5
Tabasco,2020-04-12 14:30,299,153,498,12
Tamaulipas,2020-04-12 14:30,125,53,383,3
Tlaxcala,2020-04-12 14:30,85,40,269,2
Veracruz,2020-04-12 14:30,387,78,767,3
Yucatán,2020-04-12 14:30,74,107,495,6
Zacatecas,2020-04-12 14:30,43,15,240,2
