Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,13 de Abril de 2020,98,55,627,1
Baja California,13 de Abril de 2020,562,368,722,25
Baja California Sur,13 de Abril de 2020,200,153,438,3
Campeche,13 de Abril de 2020,42,29,76,2
Chiapas,13 de Abril de 2020,54,43,230,3
Chihuahua,13 de Abril de 2020,141,67,208,13
Ciudad de México,13 de Abril de 2020,1518,1437,4471,64
Coahuila,13 de Abril de 2020,827,176,899,12
Colima,13 de Abril de 2020,32,7,84,0
Durango,13 de Abril de 2020,74,16,249,4
Guanajuato,13 de Abril de 2020,158,88,1440,5
Guerrero,13 de Abril de 2020,120,77,274,6
Hidalgo,13 de Abril de 2020,32,58,369,9
Jalisco,13 de Abril de 2020,620,159,2279,11
Michoacán,13 de Abril de 2020,142,62,451,9
Morelos,13 de Abril de 2020,73,49,246,7
México,13 de Abril de 2020,770,558,1725,27
Nayarit,13 de Abril de 2020,36,25,151,4
Nuevo León,13 de Abril de 2020,1727,132,1579,5
Oaxaca,13 de Abril de 2020,57,44,320,4
Puebla,13 de Abril de 2020,256,269,738,22
Queretaro,13 de Abril de 2020,77,61,392,3
Quintana Roo,13 de Abril de 2020,203,239,399,22
San Luis Potosí,13 de Abril de 2020,101,55,766,4
Sinaloa,13 de Abril de 2020,229,245,673,28
Sonora,13 de Abril de 2020,115,72,461,9
Tabasco,13 de Abril de 2020,336,156,498,14
Tamaulipas,13 de Abril de 2020,134,53,413,3
Tlaxcala,13 de Abril de 2020,79,49,290,2
Veracruz,13 de Abril de 2020,381,82,832,3
Yucatán,13 de Abril de 2020,96,114,497,6
Zacatecas,13 de Abril de 2020,51,16,243,2
