Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,2020-04-09 13:30,81,53,571,0
Baja California,2020-04-09 13:30,467,239,692,16
Baja California Sur,2020-04-09 13:30,313,68,269,2
Campeche,2020-04-09 13:30,10,14,63,1
Chiapas,2020-04-09 13:30,80,34,180,0
Chihuahua,2020-04-09 13:30,94,42,184,1
Ciudad de México,2020-04-09 13:30,2185,909,2972,43
Coahuila,2020-04-09 13:30,824,129,607,7
Colima,2020-04-09 13:30,30,7,68,0
Durango,2020-04-09 13:30,116,16,220,4
Guanajuato,2020-04-09 13:30,290,71,1213,1
Guerrero,2020-04-09 13:30,141,49,211,5
Hidalgo,2020-04-09 13:30,63,47,309,7
Jalisco,2020-04-09 13:30,814,139,1894,8
Michoacán,2020-04-09 13:30,195,46,294,5
Morelos,2020-04-09 13:30,56,35,217,7
México,2020-04-09 13:30,831,399,1475,11
Nayarit,2020-04-09 13:30,41,16,121,3
Nuevo León,2020-04-09 13:30,687,107,1378,5
Oaxaca,2020-04-09 13:30,81,40,263,1
Puebla,2020-04-09 13:30,409,198,517,10
Queretaro,2020-04-09 13:30,73,50,351,2
Quintana Roo,2020-04-09 13:30,217,159,336,12
San Luis Potosí,2020-04-09 13:30,169,47,595,4
Sinaloa,2020-04-09 13:30,390,138,415,15
Sonora,2020-04-09 13:30,194,48,329,4
Tabasco,2020-04-09 13:30,360,113,459,9
Tamaulipas,2020-04-09 13:30,126,46,296,3
Tlaxcala,2020-04-09 13:30,94,29,204,0
Veracruz,2020-04-09 13:30,443,54,684,3
Yucatán,2020-04-09 13:30,170,88,362,3
Zacatecas,2020-04-09 13:30,61,11,201,2
